id,amount,currency,category,description,date
1,100,EUR,Jedzenie,Obiad,2026-05-05
2,100,EUR,Jedzenie,Obiad,2026-05-05
3,100,EUR,Jedzenie,Obiad,2026-05-05
4,100,EUR,Jedzenie,Obiad,2026-05-05
5,100,EUR,Jedzenie,Obiad,2026-05-05
6,100,EUR,Jedzenie,Obiad,2026-05-05
7,100,EUR,Jedzenie,Obiad,2026-05-05
8,100,EUR,Jedzenie,Obiad,2026-05-05
9,100,EUR,Jedzenie,Obiad,2026-05-05
10,100,EUR,Jedzenie,Obiad,2026-05-05
11,100,EUR,Jedzenie,Obiad,2026-05-05
12,100,EUR,Jedzenie,Obiad,2026-05-05
13,100,EUR,Jedzenie,Obiad,2026-05-05
14,100,EUR,Jedzenie,Obiad,2026-05-05
15,100,EUR,Jedzenie,Obiad,2026-05-05
16,100,EUR,Jedzenie,Obiad,2026-05-05
17,100,EUR,Jedzenie,Obiad,2026-05-05
18,100,EUR,Jedzenie,Obiad,2026-05-05
19,100,EUR,Jedzenie,Obiad,2026-05-05
20,100,EUR,Jedzenie,Obiad,2026-05-05
21,100,EUR,Jedzenie,Obiad,2026-05-05
22,100,EUR,Jedzenie,Obiad,2026-05-05
23,100,EUR,Jedzenie,Obiad,2026-05-05
24,100,EUR,Jedzenie,Obiad,2026-05-05
25,100,EUR,Jedzenie,Obiad,2026-05-05
26,100,EUR,Jedzenie,Obiad,2026-05-05
27,100,EUR,Jedzenie,Obiad,2026-05-05
28,100,EUR,Jedzenie,Obiad,2026-05-05
29,100,EUR,Jedzenie,Obiad,2026-05-05
30,100,EUR,Jedzenie,Obiad,2026-05-05
31,100,EUR,Jedzenie,Obiad,2026-05-05
32,100,EUR,Jedzenie,Obiad,2026-05-05
33,100,EUR,Jedzenie,Obiad,2026-05-05
34,100,EUR,Jedzenie,Obiad,2026-05-05
35,100,EUR,Jedzenie,Obiad,2026-05-05
36,100,EUR,Jedzenie,Obiad,2026-05-05
37,100,EUR,Jedzenie,Obiad,2026-05-05
38,100,EUR,Jedzenie,Obiad,2026-05-05
39,100,EUR,Jedzenie,Obiad,2026-05-05
40,100,EUR,Jedzenie,Obiad,2026-05-05
41,100,EUR,Jedzenie,Obiad,2026-05-05
42,100,EUR,Jedzenie,Obiad,2026-05-05
43,100,EUR,Jedzenie,Obiad,2026-05-05
44,100,EUR,Jedzenie,Obiad,2026-05-05
45,100,EUR,Jedzenie,Obiad,2026-05-05
46,100,EUR,Jedzenie,Obiad,2026-05-05
47,100,EUR,Jedzenie,Obiad,2026-05-05
48,100,EUR,Jedzenie,Obiad,2026-05-05
49,100,EUR,Jedzenie,Obiad,2026-05-05
50,100,EUR,Jedzenie,Obiad,2026-05-05
51,100,EUR,Jedzenie,Obiad,2026-05-05
52,100,EUR,Jedzenie,Obiad,2026-05-05
53,100,EUR,Jedzenie,Obiad,2026-05-05
54,100,EUR,Jedzenie,Obiad,2026-05-05
55,100,EUR,Jedzenie,Obiad,2026-05-05
56,100,EUR,Jedzenie,Obiad,2026-05-05
57,100,EUR,Jedzenie,Obiad,2026-05-05
58,100,EUR,Jedzenie,Obiad,2026-05-05
59,100,EUR,Jedzenie,Obiad,2026-05-05
60,100,EUR,Jedzenie,Obiad,2026-05-05
61,100,EUR,Jedzenie,Obiad,2026-05-05
62,100,EUR,Jedzenie,Obiad,2026-05-05
63,100,EUR,Jedzenie,Obiad,2026-05-05
64,100,EUR,Jedzenie,Obiad,2026-05-05
65,100,EUR,Jedzenie,Obiad,2026-05-05
66,100,EUR,Jedzenie,Obiad,2026-05-05
67,100,EUR,Jedzenie,Obiad,2026-05-05
68,100,EUR,Jedzenie,Obiad,2026-05-05
69,100,EUR,Jedzenie,Obiad,2026-05-05
70,100,EUR,Jedzenie,Obiad,2026-05-05
71,100,EUR,Jedzenie,Obiad,2026-05-05
72,100,EUR,Jedzenie,Obiad,2026-05-05
73,100,EUR,Jedzenie,Obiad,2026-05-05
74,100,EUR,Jedzenie,Obiad,2026-05-05
75,100,EUR,Jedzenie,Obiad,2026-05-05
76,100,EUR,Jedzenie,Obiad,2026-05-05
77,100,EUR,Jedzenie,Obiad,2026-05-05
78,100,EUR,Jedzenie,Obiad,2026-05-05
79,100,EUR,Jedzenie,Obiad,2026-05-05
80,100,EUR,Jedzenie,Obiad,2026-05-05
81,100,EUR,Jedzenie,Obiad,2026-05-05
82,100,EUR,Jedzenie,Obiad,2026-05-05
83,100,EUR,Jedzenie,Obiad,2026-05-05
84,100,EUR,Jedzenie,Obiad,2026-05-05
85,100,EUR,Jedzenie,Obiad,2026-05-05
86,100,EUR,Jedzenie,Obiad,2026-05-05
87,100,EUR,Jedzenie,Obiad,2026-05-05
88,100,EUR,Jedzenie,Obiad,2026-05-05
89,100,EUR,Jedzenie,Obiad,2026-05-05
90,100,EUR,Jedzenie,Obiad,2026-05-05
91,100,EUR,Jedzenie,Obiad,2026-05-05
92,100,EUR,Jedzenie,Obiad,2026-05-05
93,100,EUR,Jedzenie,Obiad,2026-05-05
94,100,EUR,Jedzenie,Obiad,2026-05-05
95,100,EUR,Jedzenie,Obiad,2026-05-05
96,100,EUR,Jedzenie,Obiad,2026-05-05
97,100,EUR,Jedzenie,Obiad,2026-05-05
98,100,EUR,Jedzenie,Obiad,2026-05-05
99,100,EUR,Jedzenie,Obiad,2026-05-05
100,-50,USD,Rozrywka,Kino,2026-05-05
101,-50,USD,Rozrywka,Kino,2026-05-05
